example_id                                                                | status | run_time        |
./spec/requests/spree/orders_spec.rb[1:1:1]                               | passed | 0.18598 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:1]                             | passed | 0.19936 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:2:1]                           | passed | 0.14415 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:3:1]                           | passed | 0.1902 seconds  |
./spec/requests/spree/orders_spec.rb[1:1:2:4:1]                           | passed | 0.1841 seconds  |
./spec/requests/spree/orders_spec.rb[1:2:1:1]                             | passed | 0.0618 seconds  |
./spec/requests/spree/orders_spec.rb[1:2:1:2:1]                           | passed | 0.22385 seconds |
./spec/requests/spree/orders_spec.rb[1:2:2:1]                             | passed | 0.05301 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:1]                             | passed | 0.27757 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:2]                             | passed | 0.23688 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:3]                             | passed | 0.25226 seconds |
./spec/requests/spree/orders_spec.rb[1:3:2:1]                             | passed | 0.02025 seconds |
./spec/requests/spree/orders_spec.rb[1:4:1]                               | passed | 0.21933 seconds |
./spec/requests/spree/orders_spec.rb[1:5:1]                               | passed | 0.25139 seconds |
./spec/requests/spree/orders_transitions_spec.rb[1:1:1]                   | passed | 0.20255 seconds |
./spec/requests/spree/products_spec.rb[1:1:1]                             | passed | 0.13448 seconds |
./spec/requests/spree/products_spec.rb[1:1:2]                             | passed | 0.11076 seconds |
./spec/requests/spree/products_spec.rb[1:2:1]                             | passed | 0.14452 seconds |
./spec/requests/spree/products_spec.rb[1:2:2]                             | passed | 0.15074 seconds |
./spec/requests/spree/taxons_spec.rb[1:1]                                 | passed | 0.15001 seconds |
./spec/requests/spree/user_update_spec.rb[1:1:1]                          | passed | 0.04191 seconds |
./spec/requests/spree/user_update_spec.rb[1:1:2]                          | passed | 0.0463 seconds  |
./spec/requests/spree/user_update_spec.rb[1:1:3]                          | passed | 0.0597 seconds  |
./spec/system/address_spec.rb[1:1:1:1]                                    | failed | 0.63924 seconds |
./spec/system/address_spec.rb[1:1:2:1]                                    | failed | 0.58437 seconds |
./spec/system/address_spec.rb[1:1:3:1]                                    | failed | 0.59957 seconds |
./spec/system/address_spec.rb[1:2:1]                                      | failed | 0.60228 seconds |
./spec/system/authentication/account_spec.rb[1:1:1]                       | failed | 0.15517 seconds |
./spec/system/authentication/account_spec.rb[1:1:2]                       | failed | 0.23917 seconds |
./spec/system/authentication/account_spec.rb[1:1:3]                       | failed | 0.2207 seconds  |
./spec/system/authentication/change_email_spec.rb[1:1]                    | failed | 0.24381 seconds |
./spec/system/authentication/checkout_spec.rb[1:1]                        | failed | 0.55483 seconds |
./spec/system/authentication/checkout_spec.rb[1:2:1]                      | failed | 0.54774 seconds |
./spec/system/authentication/checkout_spec.rb[1:2:2]                      | failed | 0.54019 seconds |
./spec/system/authentication/checkout_spec.rb[1:2:3]                      | failed | 0.57255 seconds |
./spec/system/authentication/checkout_spec.rb[1:2:4]                      | failed | 0.52042 seconds |
./spec/system/authentication/confirmation_spec.rb[1:1]                    | failed | 0.31769 seconds |
./spec/system/authentication/password_reset_spec.rb[1:1:1]                | failed | 0.56604 seconds |
./spec/system/authentication/password_reset_spec.rb[1:2]                  | failed | 0.0993 seconds  |
./spec/system/authentication/sign_in_spec.rb[1:1]                         | failed | 0.13186 seconds |
./spec/system/authentication/sign_in_spec.rb[1:2]                         | failed | 0.07708 seconds |
